File name,Original size,Compressed size,Compression ratio,Space savings
abc-0.txt,3983,2168,1.837177,0.455687 
abc-2.txt,3565,1974,1.805978,0.446283 
abc-3.txt,3755,2041,1.839784,0.456458 
abc-1.txt,4086,2157,1.894298,0.472100 
